testId,algorithm,dataSize,errorProbability,originalText,originalBits,encodedBits,noisyBits,errorsIntroduced,errorPositions,overhead,detected,corrected,correctDetection,correctCorrection,processingTime,status,message,timestamp
1,hamming,32,0.0,BHQi,01000010010010000101000101101001,010010010010010101000010100010111010011,010010010010010101000010100010111010011,0,,0.1875,False,True,True,False,0.0,ok,Hamming: Decodificación exitosa,1755392767
2,hamming,32,0.0,S pp,01010011001000000111000001110000,000010100011001000000011100000101100001,000010100011001000000011100000101100001,0,,0.1875,False,True,True,False,0.0,ok,Hamming: Decodificación exitosa,1755392767
3,hamming,32,0.0,DDyw,01000100010001000111100101110111,000010010100010100100011110010111101110,000010010100010100100011110010111101110,0,,0.1875,False,True,True,False,0.0,ok,Hamming: Decodificación exitosa,1755392767
4,hamming,32,0.0,kMI1,01101011010011010100100100110001,010011001011010001101010010010011100011,010011001011010001101010010010011100011,0,,0.1875,False,True,True,False,1.426,ok,Hamming: Decodificación exitosa,1755392767
5,hamming,32,0.0,JTqy,01001010010101000111000101111001,100010011010010110100011100010101110010,100010011010010110100011100010101110010,0,,0.1875,False,True,True,False,0.0,ok,Hamming: Decodificación exitosa,1755392767
6,hamming,32,0.0,LGrI,01001100010001110111001001001001,010010011100010000111011100100100010010,010010011100010000111011100100100010010,0,,0.1875,False,True,True,False,1.476,ok,Hamming: Decodificación exitosa,1755392767
7,hamming,32,0.0,HX3l,01001000010110000011001101101100,000010011000010111000001100110111011000,000010011000010111000001100110111011000,0,,0.1875,False,True,True,False,0.0,ok,Hamming: Decodificación exitosa,1755392767
8,hamming,32,0.0,KhUM,01001011011010000101010101001101,010110011011011001000010101010110011011,010110011011011001000010101010110011011,0,,0.1875,False,True,True,False,1.008,ok,Hamming: Decodificación exitosa,1755392767
9,hamming,32,0.0,yujo,01111001011101010110101001101111,000111101001011010101011010100111011110,000111101001011010101011010100111011110,0,,0.1875,False,True,True,False,0.0,ok,Hamming: Decodificación exitosa,1755392767
10,hamming,32,0.0,NERN,01001110010001010101001001001110,010010011110010000101010100100110011101,010010011110010000101010100100110011101,0,,0.1875,False,True,True,False,0.0,ok,Hamming: Decodificación exitosa,1755392767
11,hamming,32,0.0,n5s?,01101110001101010111001100111111,110011001110001010101011100110001111110,110011001110001010101011100110001111110,0,,0.1875,False,True,True,False,1.002,ok,Hamming: Decodificación exitosa,1755392767
12,hamming,32,0.0,Chea,01000011011010000110010101100001,000010000011011001000011001010101000011,000010000011011001000011001010101000011,0,,0.1875,False,True,True,False,0.0,ok,Hamming: Decodificación exitosa,1755392767
